season,location,matchday_nr,home_team_id,home_team_name,home_team,away_team_id,away_team_name,away_team,goals_home,goals_away,draw,win_home,win_away,goals_total
2013,Gladbach,4,87,Borussia Mönchengladbach,Gladbach,134,Werder Bremen,Bremen,4,1,0,1,0,5
2013,Hannover,4,55,Hannover 96,Hannover,81,1. FSV Mainz 05,Mainz,4,1,0,1,0,5
2013,Wolfsburg,4,131,VfL Wolfsburg,Wolfsburg,54,Hertha BSC,Hertha,2,0,0,1,0,2
2013,Nürnberg,4,79,1. FC Nürnberg,Nürnberg,95,FC Augsburg,Augsburg,0,1,0,0,1,1
2013,Hamburg,4,100,Hamburger SV,HSV,74,Eintracht Braunschweig,Braunschweig,4,0,0,1,0,4
2013,Gelsenkirchen,4,9,FC Schalke 04,Schalke,6,Bayer Leverkusen,Leverkusen,2,0,0,1,0,2
2013,Stuttgart,4,16,VfB Stuttgart,Stuttgart,123,TSG 1899 Hoffenheim,,6,2,0,1,0,8
2013,Frankfurt,4,91,Eintracht Frankfurt,Frankfurt,7,Borussia Dortmund,BVB,1,2,0,0,1,3
2013,Berlin,5,54,Hertha BSC,Hertha,16,VfB Stuttgart,Stuttgart,0,1,0,0,1,1
2013,München,5,40,FC Bayern München,Bayern,55,Hannover 96,Hannover,2,0,0,1,0,2
2013,Leverkusen,5,6,Bayer Leverkusen,Leverkusen,131,VfL Wolfsburg,Wolfsburg,3,1,0,1,0,4
2013,Bremen,5,134,Werder Bremen,Bremen,91,Eintracht Frankfurt,Frankfurt,0,3,0,0,1,3
2013,Mainz,5,81,1. FSV Mainz 05,Mainz,9,FC Schalke 04,Schalke,0,1,0,0,1,1
2013,Augsburg,5,95,FC Augsburg,Augsburg,112,SC Freiburg,Freiburg,2,1,0,1,0,3
2013,Dortmund,5,7,Borussia Dortmund,BVB,100,Hamburger SV,HSV,6,2,0,1,0,8
2013,Sinsheim,5,123,TSG 1899 Hoffenheim,Hoffenheim,87,Borussia Mönchengladbach,Gladbach,2,1,0,1,0,3
2013,Braunschweig,5,74,Eintracht Braunschweig,Braunschweig,79,1. FC Nürnberg,Nürnberg,1,1,1,0,0,2
2013,Gladbach,6,87,Borussia Mönchengladbach,Gladbach,74,Eintracht Braunschweig,Braunschweig,4,1,0,1,0,5
2013,Hannover,6,55,Hannover 96,Hannover,95,FC Augsburg,Augsburg,2,1,0,1,0,3
