season,location,matchday_nr,home_team_id,home_team_name,home_team,away_team_id,away_team_name,away_team,goals_home,goals_away,draw,win_home,win_away,goals_total
2014,Mainz,10,81,1. FSV Mainz 05,Mainz,134,Werder Bremen,Bremen,1,2,0,0,1,3
2014,Hannover,10,55,Hannover 96,Hannover,91,Eintracht Frankfurt,Frankfurt,1,0,0,1,0,1
2014,Stuttgart,10,16,VfB Stuttgart,Stuttgart,131,VfL Wolfsburg,Wolfsburg,0,4,0,0,1,4
2014,Hamburg,10,100,Hamburger SV,HSV,6,Bayer Leverkusen,Leverkusen,1,0,0,1,0,1
2014,München,10,40,FC Bayern München,Bayern,7,Borussia Dortmund,BVB,2,1,0,1,0,3
2014,Gladbach,10,87,Borussia Mönchengladbach,Gladbach,175,TSG 1899 Hoffenheim,Hoffenheim,3,1,0,1,0,4
2014,Köln,10,65,1. FC Köln,Köln,112,SC Freiburg,Freiburg,0,1,0,0,1,1
2014,Paderborn,10,31,SC Paderborn 07,Paderborn,54,Hertha BSC,Hertha,3,1,0,1,0,4
2014,Berlin,11,54,Hertha BSC,Hertha,55,Hannover 96,Hannover,0,2,0,0,1,2
2014,Augsburg,11,95,FC Augsburg,Augsburg,31,SC Paderborn 07,Paderborn,3,0,0,1,0,3
2014,Sinsheim,11,175,TSG 1899 Hoffenheim,Hoffenheim,65,1. FC Köln,Köln,3,4,0,0,1,7
2014,Frankfurt,11,91,Eintracht Frankfurt,Frankfurt,40,FC Bayern München,Bayern,0,4,0,0,1,4
